岗位名称,工作地址,学历要求,工作经验,工作标签,企业名称,企业规模,企业福利,实习生,最低薪资,最高薪资
前端工程师,上海,大专,5-10年,"Vue,uniapp,TS",葡萄柚,20-99人,无,0,13000,17000
前端开发工程师-CC0816,上海,本科,5-10年,Vue,合合信息,1000-9999人,"年终奖,零食下午茶,定期体检,节日福利,带薪年假,包吃,五险一金,免费班车,员工旅游,13薪",0,25000,40000
高级/资深前端开发工程师,上海,本科,经验不限,"Node.js,react,C端经验",携程集团,10000人以上,"年终奖,节日福利,五险一金,定期体检,员工旅游,带薪年假,免费班车,股票期权,补充医疗保险,混合办公,15薪",0,20000,30000
VUE/JS前端工程师,上海,本科,3-5年,"JavaScript,HTML5,Vue,计算机,软件工程相关专业",艾拉网,0-20人,"保底工资,五险一金",0,12000,15000
鸿蒙系统开发工程师,上海,本科,5-10年,"Android开发经验,OpenHarmony,鸿蒙",上海复深蓝,1000-9999人,"年终奖,带薪年假,节日福利,员工旅游,团建聚餐,股票期权,免费班车,有无线网,五险一金,定期体检,生日福利",0,18000,28000
APP开发工程师,上海,本科,1-3年,"Android客户端产品研发,架构设计,优化,Java,HTML5",鑫业网络,20-99人,"五险一金,住房补贴,底薪加提成,节假日加班费,宿舍有空调,年终奖,包住,全勤奖,加班补助,夜班补助,带薪年假,绩效奖金,保底工资,法定节假日三薪,包吃,定期体检,员工旅游,意外险",0,10000,15000
ANDROID开发工程师,上海,本科,1-3年,"Kotlin,GIT,SVN,SDK,Java,Android",贝乐虎,20-99人,"定期体检,股票期权,零食下午茶,带薪年假,五险一金,年终奖,员工旅游,节日福利",0,15000,22000
ANDROID开发专家/架构师,上海,本科,5-10年,"Android客户端产品研发,架构设计,优化,Kotlin",合溢网络科技,100-499人,"定期体检,五险一金,14薪",0,35000,45000
安卓开发工程师,上海,本科,3-5年,Android客户端产品研发,小米,10000人以上,"餐补,带薪年假,补充医疗保险,五险一金,股票期权,定期体检,年终奖,节日福利,12%公积金,15薪",0,20000,40000
支付宝测试开发工程师,上海,本科,3-5年,"测试开发,白盒测试,自动化测试,业务测试",蚂蚁集团,10000人以上,"定期体检,年终奖,通讯补贴,餐补,股票期权,住房补贴,节日福利,带薪年假,加班补助,免费班车,全勤奖,交通补助,员工旅游,零食下午茶,五险一金,包吃,13薪",0,30000,50000
电商运营,上海,本科,经验不限,"电商店铺运营,微店,小程序,淘宝,天猫,C2C",企鹅吃喝指南,20-99人,"带薪年假,年终奖,定期体检,绩效奖金,五险一金,14薪",0,10000,15000
WEB前端,上海,大专,1-3年,"HTML5,移动端,小程序,前端开发,JQuery,ES6,CSS3",明蝉教育,20-99人,"通讯补贴,餐补,节日福利,团建聚餐,五险一金,夜班补助,零食下午茶,交通补助,绩效奖金,全勤奖,年终奖,带薪年假,员工旅游",0,8000,13000
前端技术负责人-国际电商内容电商,上海,本科,5-10年,"前端开发经验,电商",北京有竹居网络技术,10000人以上,"无,15薪",0,30000,60000
FLUTTER开发工程师,上海,本科,5-10年,"Flutter,多线程编程能力,计算机,软件工程相关专业",相寓,1000-9999人,"年终奖,五险一金,带薪年假,绩效奖金,16薪",0,20000,40000
COCOS游戏开发工程师,上海,本科,1-3年,"Cocos2d-x,C,C++,Lua,计算机,软件工程相关专业",Abilill,20-99人,"零食下午茶,项目奖金,股票期权,五险一金,带薪年假,月度奖金,定期体检,年终奖,法定节假日三薪,企业年金,交通补助,团建聚餐,员工旅游,节日福利",0,6000,10000
测试工程师,上海,本科,经验不限,"白盒测试,黑盒测试,server端测试",mission,20-99人,"员工宿舍,每年涨薪,全勤奖,股票期权,零食下午茶,年终奖,五险一金,每月团建活动,通讯补贴,住房补贴,员工旅游,包吃,节日福利,落户快速通道,加班补助,餐补,项目奖金,带薪年假,交通补助,每年外出旅游",0,8000,13000
资深安卓开发工程师,上海,本科,5-10年,"Android客户端产品研发,架构设计,优化,Java",大智慧,1000-9999人,"节日福利,零食下午茶,年终奖,五险一金,定期体检,餐补,股票期权,带薪年假,13薪",0,20000,30000
校招上海WEB前端高级研发工程师,上海,本科,在校/应届,"C,C++,Vue,Python,技术博客,开源项目有所贡献",百度,10000人以上,"五险一金,定期体检,免费班车,补充医疗保险,交通补助,节日福利,带薪年假,通讯补贴,餐补,加班补助,住房补贴,员工旅游,年终奖,零食下午茶,娱乐健身",0,16000,25000
测试工程师,上海,本科,在校/应届,"功能测试,性能测试,Java,Python,MySQL",极羽科技,20-99人,"带薪年假,节日福利,员工旅游,交通补助,生日福利,股票期权,餐补,定期体检,五险一金,年终奖,零食下午茶,通讯补贴",0,8000,12000
前端开发专家,上海,本科,5-10年,"JavaScript,Vue,Node.js,前端开发经验",同程旅行,1000-9999人,"五险一金,生日福利,通讯补贴,年终奖,团建聚餐,底薪加提成,加班补助,餐补,带薪年假,补充医疗保险,节日福利,零食下午茶,免费班车,16薪",0,20000,40000
中高级前端工程师,上海,本科,3-5年,React,上海唯都,100-499人,"五险一金,补充医疗保险,全勤奖,定期体检,带薪年假,年终奖,节日福利",0,18000,23000
测试工程师,上海,本科,1-3年,"功能测试,性能测试,JMeter,计算机相关专业",蜜度,1000-9999人,"五险一金,补充医疗保险,生日福利,意外险,带薪年假,节日福利,团建聚餐",0,13000,17000
高级测试工程师,上海,本科,5-10年,"功能测试,性能测试,自动化测试,计算机相关专业",多抓鱼,100-499人,"年终奖,补充医疗保险,定期体检,股票期权,带薪年假,零食下午茶,员工旅游,包吃,五险一金,14薪",0,16000,24000
高级UE4开发工程师,上海,本科,5-10年,"C,C++,UE4开发经验,UE4,计算机,软件工程相关专业",彼真科技,20-99人,"交通补助,节日福利,零食下午茶,五险一金,14薪",0,30000,60000
软件测试工程师,上海,本科,3-5年,"Python,C++",COWAROBOT,1000-9999人,"节日福利,定期体检,生日福利,团建聚餐,零食下午茶,员工旅游,通讯补贴,年终奖,差补,加班补助,股票期权,15薪",0,20000,28000
资深前端开发工程师,上海,本科,5-10年,"JavaScript,HTML5,CSS",携程集团,10000人以上,"五险一金,股票期权,定期体检,员工旅游,节日福利,免费班车,混合办公,带薪年假,补充医疗保险,年终奖,15薪",0,45000,60000
高级测试开发工程师-BASE杭州,上海,本科,1-3年,"功能测试,自动化测试,Java,Python,电商",阿里巴巴集团,10000人以上,"补充医疗保险,员工旅游,交通补助,免费班车,节日福利,年终奖,餐补,股票期权,五险一金,零食下午茶",0,25000,50000
测试,上海,大专,1-3年,"功能测试,自动驾驶,数据分流,沟通协调",治享科技,100-499人,"五险一金,零食下午茶,节日福利,加班补助,定期体检,年终奖,带薪年假",0,7000,9000
功能测试-银行,上海,本科,3-5年,"银行,金融",晶朝数字,20-99人,"节日福利,通讯补贴,餐补,员工旅游,交通补助,带薪年假,五险一金",0,14000,20000
IOS开发工程师,上海,本科,3-5年,"C++,Objective-C,Swift,iOS开发,客户端开发",井英科技,20-99人,"定期体检,绩效奖金,员工旅游,带薪年假,团建聚餐,股票期权,年终奖,五险一金,节日福利,15薪",0,25000,50000
高级前端开发工程师,上海,本科,3-5年,"React,ECharts,JavaScript,计算机,软件工程相关专业",PPIO,100-499人,"包吃,定期体检,五险一金,零食下午茶,带薪年假,员工旅游,股票期权,交通补助,年终奖,节日福利,餐补",0,20000,30000
高级客户端开发工程师-IOS/ANDROID蚂蚁国际,上海,本科,3-5年,"Android客户端产品研发,架构设计,优化,研发流程优化",蚂蚁集团,10000人以上,"带薪年假,包吃,定期体检,股票期权,餐补,加班补助,交通补助,免费班车,年终奖,住房补贴,员工旅游,五险一金,零食下午茶,节日福利,通讯补贴,全勤奖,16薪",0,26000,45000
高级ANDROID研发工程师,上海,本科,3-5年,"Android客户端产品研发,React Native,Android开发经验",哈啰普惠,1000-9999人,"免费工装,员工旅游,团建聚餐,节日福利,带薪年假,定期体检,五险一金,绩效奖金,保底工资,节假日加班费,年终奖,加班补助,14薪",0,30000,60000
高级前端开发工程师,上海,本科,5-10年,Vue,浙江万有码力网络科技,100-499人,"生日福利,加班补助,五险一金,交通补助,通讯补贴,零食下午茶,带薪年假,高温补贴,夜班补助,全勤奖,补充医疗保险,节日福利,年终奖,绩效奖金,13薪",0,25000,50000
H5前端开发,上海,本科,3-5年,"计算机,软件工程相关专业,前端开发经验",云洞,20-99人,无,0,11000,18000
高级WEB前端工程师,上海,本科,5-10年,"Vue,前端开发经验,不接受居家办公",珍岛集团,1000-9999人,"五险一金,免费理发,免费艾灸,节日福利,员工旅游,年终奖,带薪年假,免费按摩,股票期权,免费美甲,通讯补贴",0,25000,35000
大数据测试工程师,上海,本科,1-3年,"Python,Shell,MySQL,功能测试,性能测试,接口测试",深演智能,100-499人,"员工旅游,节日福利,五险一金,定期体检,带薪年假,13薪",0,12000,18000
前端开发工程师,上海,本科,5-10年,"Vue,CSS,HTML5,前端开发经验",携华出行,100-499人,"团建聚餐,绩效奖金,股票期权,五险一金,餐补,节日福利,加班补助,生日福利,带薪年假,年终奖,零食下午茶,定期体检,13薪",0,12000,18000
前端开发工程师,上海,大专,3-5年,"ECharts,Vue,CSS,uniapp,Javascript",睿饰科技,20-99人,无,0,10000,15000
音频系统软件工程师,上海,本科,3-5年,"audio,音频",上海羿聘咨询管理,20-99人,"五险一金,定期体检,带薪年假,年终奖,底薪加提成,15薪",0,30000,40000
ANDROID研发工程师,上海,本科,3-5年,"Android客户端产品研发,Java,Kotlin,Android开发经验",MiniMax,100-499人,"年终奖,包吃,零食下午茶,节日福利,带薪年假,员工旅游,餐补,股票期权,交通补助,定期体检,住房补贴,五险一金,16薪",0,25000,50000
ANDROID开发工程师,上海,本科,3-5年,Android客户端产品研发,阅文集团,1000-9999人,"带薪年假,餐补,员工旅游,节日福利,年终奖,补充医疗保险,全勤奖,五险一金,定期体检,14薪",0,20000,40000
软件测试工程师,上海,大专,3-5年,"功能测试,性能测试,自动化测试,JMeter,LoadRunner",从开科技,20-99人,无,0,11000,16000
资深IOS开发工程师,上海,本科,5-10年,"功能开发,性能优化,技术升级,Objective-C",上海沙魂网络科技,0-20人,"股票期权,五险一金,绩效奖金,年终奖,带薪年假,14薪",0,40000,60000
ANDROID,上海,大专,3-5年,"Android Studio,Android UI,Android SDK",追书神器,100-499人,"五险一金,定期体检,加班补助,年终奖,带薪年假,员工旅游,节日福利",0,25000,50000
游戏测试,上海,大专,1-3年,"软件测试经验,手游测试经验,主机游戏测试经验,原神",希潽可拇,20-99人,"定期体检,底薪加提成,团建聚餐,交通补助,餐补,零食下午茶,全勤奖,工龄奖,夜班补助,节假日加班费,节日福利,加班补助,五险一金,带薪年假,年终奖,法定节假日三薪",0,6000,10000
中级前端工程师,上海,本科,1-3年,"JavaScript,Vue,计算机,软件工程相关专业,前端开发经验",卡堂,20-99人,"零食下午茶,五险一金,带薪年假,员工旅游,年终奖,加班补助,餐补,节日福利",0,10000,15000
资深前端开发工程师,上海,本科,3-5年,"Vue,React,HTML5,前端开发经验,不接受居家办公",星纪魅族,1000-9999人,"节日福利,股票期权,餐补,团建聚餐,包吃,员工旅游,零食下午茶,年终奖,五险一金,定期体检,补充医疗保险,带薪年假",0,20000,30000
2024届秋季校园招聘——行政岗,上海,本科,在校/应届,行政,东方财富集团,1000-9999人,"员工旅游,年终奖,节日福利,五险一金,带薪年假,定期体检,15薪",0,8000,11000
测试工程师,上海,本科,3-5年,"功能测试,性能测试,Java,Python",55海淘,100-499人,"底薪加提成,定期体检,带薪年假,股票期权,五险一金,节日福利,绩效奖金,生日福利,零食下午茶,年终奖",0,11000,20000
软件测试工程师,上海,本科,1-3年,"自动化测试,嵌入式测试,C++,Python,测开岗",介方信息,20-99人,"运动福利,定期体检,年终奖,补充医疗保险,五险一金,团建聚餐,股票期权,节日福利,带薪年假,底薪加提成,零食下午茶,员工旅游,14薪",0,10000,13000
测试工程师,上海,本科,5-10年,"功能测试,嵌入式测试,计算机相关专业,测试工作经验",予御,20-99人,无,0,12000,16000
事务综合岗,上海,本科,3-5年,"接待,外联,文书起草,跨部门沟通",富友集团,1000-9999人,"带薪年假,节日福利,员工食堂,员工旅游,定期体检,补充公积金,餐补,14薪",0,10000,12000
电商运营+双休+中晚餐,上海,本科,1年以内,"电商店铺运营,平台品类运营,家用电器",海淮,100-499人,"零食下午茶,年终奖,五险一金,节日福利,生日福利,五险一金,高温补贴,员工旅游,包吃,餐补,交通补助,保底工资,带薪年假,绩效奖金,团建聚餐,13薪",0,5000,7000
高级测试工程师,上海,本科,5-10年,"功能测试,性能测试,自动化测试,计算机相关专业",星火保,100-499人,"五险一金,绩效奖金,零食下午茶,带薪年假,员工旅游,居住证积分,全勤奖,生日福利,年终奖,节日福利,团建聚餐,法定节假日三薪",0,15000,30000
中高级前端开发工程师,上海,本科,3-5年,"React,前端开发经验",北京川研科技有限公司,100-499人,"节日福利,团建聚餐,带薪年假,年终奖,五险一金,零食下午茶,定期体检,14薪",0,25000,35000
游戏测试,上海,大专,1-3年,"Python,Shell,计算机相关专业,手游测试经验",上海隆归科技有限公司,100-499人,无,0,8000,10000
ANDROID开发工程师,上海,大专,1-3年,Flutter,上海乐宣信息科技...,100-499人,"节日福利,定期体检,年终奖,五险一金,带薪年假,零食下午茶,员工旅游",0,10000,15000
中级前端工程师,上海,本科,1-3年,"计算机,软件工程相关专业",万马汇科技,20-99人,"定期体检,补充医疗保险,五险一金",0,12000,18000
ANDROID开发工程师-上海,上海,大专,3-5年,"Java,多线程编程能力,Kotlin",云融天下,100-499人,"定期体检,带薪年假,五险一金,补充医疗保险,餐补",0,14000,16000
中高级前端开发工程师,上海,本科,3-5年,"React,Vue,计算机,软件工程相关专业,前端开发经验",浙江铝拓科技有限公司,20-99人,"五险一金,定期体检,出差补贴,节日福利,加班补助,单间住宿,餐补,交通补助,带薪年假",0,12000,17000
UNITY客户端,上海,本科,5-10年,"C,C++,Unity3D",garena,1000-9999人,"补充医疗保险,节日福利,年终奖,带薪年假,定期体检,五险一金,股票期权,零食下午茶",0,30000,55000
客户端,上海,本科,3-5年,"ios,andriod,flutter",腾讯,10000人以上,"公仔周边活动,意外险,免费班车,餐补,交通补助,定期体检,绩效奖金,有无线网,零食下午茶,带薪年假,免费早晚餐,五险一金,包吃,股票期权,年终奖,员工旅游,免费健身房,补充医疗保险,节日福利,住房补贴,16薪",0,20000,35000
资深UNITY开发工程师,上海,本科,5-10年,"Unity3D,Unity3D开发经验,3D游戏客户端开发经验,SDK",玛驷众,100-499人,"年终奖,五险一金,补充医疗保险,餐补,交通补助,通讯补贴,节日福利,团建聚餐,生日福利,带薪年假,零食下午茶",0,20000,30000
高级系统工程师,上海,本科,3-5年,"架构设计,优化",OPPO,10000人以上,"定期体检,年终奖,股票期权,带薪年假,五险一金,零食下午茶",0,30000,60000
自动化测试,上海,本科,1-3年,"自动化测试经验,接口测试,app测试,web测试",辰石信息,100-499人,无,0,9000,11000
ANDROID开发工程师,上海,本科,5-10年,Android客户端产品研发,大智慧,1000-9999人,"带薪年假,年终奖,零食下午茶,五险一金,餐补,节日福利,股票期权,定期体检,13薪",0,20000,25000
资深前端开发工程师,上海,本科,3-5年,"JavaScript,Node.js,Python,前端开发经验,接受居家办公",上海任意子智能科技,0-20人,"定期体检,意外险,五险一金,14薪",0,20000,35000
资深测试开发工程师,上海,本科,经验不限,"功能测试,性能测试,自动化测试,测试工作经验",杭州今日头条科技,10000人以上,"团建聚餐,零食下午茶,包吃,绩效奖金,定期体检,意外险,五险一金,15薪",0,25000,50000
游戏测试工程师,上海,大专,1-3年,"丰富的游戏经验,手游测试经验",宁波比孚,100-499人,"节日福利,绩效奖金,团建聚餐,交通补助,工龄奖,节假日加班费,专业培训,游戏比赛,定期体检,一对一导师,餐补,五险一金,加班补助,年度调薪,带薪年假,年终奖,法定节假日三薪,生日福利",0,5000,6000
ACDC硬件,上海,大专,5-10年,"电池,电源类",西图盟,20-99人,"通讯补贴,节日福利,五险一金,带薪年假,定期体检,餐补",0,35000,55000
自动化测试,上海,本科,5-10年,"JMeter,Jira,Postman,自动化测试经验,计算机相关专业",上海瀚若轩公司,20-99人,"年终奖,五险一金",0,12000,14000
IOS开发,上海,本科,1-3年,Objective-C,微芒教育科技,100-499人,"五险一金,周末双休,带薪年假,年终奖,节日福利",0,15000,30000
综合行政,上海,本科,1-3年,"活动,会议组织,接待,外联,企业文化建设",青岛中瑞云数科技...,1000-9999人,"餐补,五险一金,年终奖,定期体检,住房补贴,带薪年假,节日福利,交通补助,通讯补贴",0,7000,12000
安卓开发工程师,上海,本科,3-5年,"Android客户端产品研发,架构设计,优化,Java",氦氪科技(上海),20-99人,"节假日加班费,加班补助,五险一金,绩效奖金,保底工资,年终奖",0,14000,28000
第三方渠道运营,上海,本科,3-5年,"B2C,大型B2B,B2C网站经验,数据分析能力,京东到家",永辉超市集团,10000人以上,"保底工资,节日福利,餐补,五险一金,带薪年假,年终奖,零食下午茶,绩效奖金,13薪",0,18000,23000
系统测试工程师,上海,本科,3-5年,Linux,卡睿智行,20-99人,"定期体检,团建聚餐,年终奖,五险一金,股票期权,带薪年假,餐补",0,20000,40000
前端,上海,本科,3-5年,"PC端,前端开发,Node.js,React",韩创科技,500-999人,零食下午茶,0,15000,18000
ANDROID开发工程师,上海,本科,5-10年,"Android客户端产品研发,Java,Android开发经验",东方福利网,1000-9999人,"交通补助,餐补,带薪年假,零食下午茶,年终奖,节日福利,补充医疗保险,五险一金,每月生日趴,员工旅游,14薪",0,20000,30000
高级/资深前端WEB开发工程师,上海,本科,3-5年,"技术博客,开源项目有所贡献,CSS,不接受居家办公",冰丰科技,0-20人,"底薪加提成,年终奖,全勤奖,五险一金,股票期权,加班补助,保底工资,绩效奖金,项目奖,有无线网,14薪",0,18000,25000
高级/资深ANDROID开发工程师,上海,本科,3-5年,"Android客户端产品研发,Java,React Native",存晰科技,0-20人,"员工旅游,带薪年假,年终奖,五险一金,13薪",0,12000,20000
UNI-APP开发工程师,上海,本科,3-5年,"计算机,软件工程相关专业,前端开发经验,JavaScript,CSS",饭饭之交,20-99人,"五险一金,定期体检,股票期权,零食下午茶,带薪年假,有无线网,绩效奖金,节日福利,员工旅游,年终奖,团建聚餐",0,15000,20000
资深测试开发工程师,上海,本科,3-5年,"功能测试,性能测试,自动化测试",阿里巴巴集团,10000人以上,"五险一金,补充医疗保险,股票期权,免费班车,员工旅游,年终奖,交通补助,节日福利,餐补,零食下午茶,13薪",0,20000,40000
中级前端工程师,上海,本科,3-5年,"JavaScript,React,Vue",智慧树,1000-9999人,"节日福利,五险一金,带薪年假,交通补助,补充医疗保险",0,18000,25000
前端开发工程师,上海,本科,1-3年,"前端开发,Node.js,HTML,HTML5,React,Vue,移动端",上海玙承,0-20人,"高温补贴,节假日加班费,底薪加提成,员工旅游,法定节假日三薪,五险一金",0,12000,18000
高级IOS开发工程师,上海,本科,3-5年,"技术方案规划,架构设计,功能开发,Objective-C,Swift",乐益购,0-20人,无,0,15000,25000
中级JAVA开发工程师,天津,本科,3-5年,"Java,Spring,MySQL,Redis,PostgreSQL",郑州市宽昀企业管...,20-99人,"带薪年假,节日福利,底薪加提成,全勤奖,绩效奖金,有无线网,五险一金",0,7000,12000
PHP开发工程师-天津,天津,本科,经验不限,"PHP,Laravel,Yii,ThinkPHP,MySQL,Redis,MongoDB",谷川联行,500-999人,"五险一金,员工旅游,交通补助,零食下午茶,体检,年终奖,工龄奖,软饮零食,通讯补贴,带薪年假,生日福利,定期体检,节日福利,团建聚餐",0,10000,15000
2024富士康菁干班校园招聘—工程技术类,天津,本科,在校/应届,"功能测试,性能测试,自动化测试,计算机相关专业",富士康,10000人以上,"五险一金,年终奖,绩效奖金,节日福利,带薪年假,定期体检,股票期权,13薪",0,6000,10000
初级前端开发工程师,天津,大专,1-3年,"Vue,React,uniapp",普斯泰科技,20-99人,"节日福利,意外险,工龄奖,零食下午茶,五险一金,全勤奖,年终奖,项目奖金,餐补",0,6000,8000
JAVA工程师-天津,天津,本科,1-3年,"后端工程师,Java,Java开发经验",思特奇,1000-9999人,"带薪年假,五险一金,定期体检,餐补,补充医疗保险,平台好,年终奖,通讯补贴,交通补助,员工旅游,13薪",0,10000,15000
C#开发工程师,天津,本科,3-5年,"C#,C++,MySQL,多线程,Winform,SQL Server",菲特检测,100-499人,"有无线网,带薪年假,年终奖,工龄奖,加班补助,餐补,通讯补贴,零食下午茶,补充医疗保险,团建聚餐,节日福利,交通补助,五险一金,全勤奖,夜班补助,定期体检",0,12000,20000
